Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),impact_score,likelihood,risk_score,Risk Category
China,2019,Phishing,Education,0.8044024525077899,0.7733551772348384,Hacker Group,Unpatched Software,VPN,0.8732394366197184,0.80885566674829,0.0003333333333333333,0.00026961855558276334,Low
China,2019,Ransomware,Retail,0.6200623178208865,0.29577036281626207,Hacker Group,Unpatched Software,Firewall,0.9859154929577465,0.5959453663468712,0.0003333333333333333,0.00019864845544895706,Low
India,2017,Man-in-the-Middle,IT,0.38345562368077196,0.6059490938350359,Hacker Group,Weak Passwords,VPN,0.26760563380281693,0.42703366675146015,0.0006666666666666666,0.0002846891111676401,Low
UK,2024,Ransomware,Telecommunications,0.4114986430797065,0.6594162794444818,Nation-state,Social Engineering,AI-based Detection,0.08450704225352114,0.420475613823902,0.0013333333333333333,0.0005606341517652026,High
Germany,2018,Man-in-the-Middle,IT,0.7428887325359333,0.8108977983629084,Insider,Social Engineering,VPN,0.943661971830986,0.8034461001430364,0.0013333333333333333,0.0010712614668573817,High
Germany,2017,Man-in-the-Middle,Retail,0.9824102924917077,0.28500186647264697,Unknown,Social Engineering,Antivirus,0.33802816901408456,0.6443113399904649,0.0006666666666666666,0.0004295408933269766,Medium
Germany,2016,DDoS,Telecommunications,0.3292793245552317,0.43117819959948406,Insider,Unpatched Software,VPN,0.46478873239436624,0.3869508686363343,0.0006666666666666666,0.0002579672457575562,Low
France,2018,SQL Injection,Government,0.5903105839782893,0.9102852150346624,Unknown,Social Engineering,Antivirus,0.9154929577464789,0.7513394480488391,0.001,0.0007513394480488391,High
India,2016,Man-in-the-Middle,Banking,0.16463966227761587,0.6983760186787376,Unknown,Social Engineering,VPN,0.647887323943662,0.42141010153116165,0.0006666666666666666,0.0002809400676874411,Low
UK,2023,DDoS,Healthcare,0.6899185847823902,0.6860442889439768,Hacker Group,Unpatched Software,Firewall,0.8028169014084507,0.7113359593560783,0.0006666666666666666,0.0004742239729040522,Medium
China,2019,Phishing,Telecommunications,0.8862197205749323,0.4936404823405668,Unknown,Zero-day,VPN,0.3943661971830986,0.6700752444262559,0.0006666666666666666,0.0004467168296175039,Medium
China,2016,SQL Injection,Healthcare,0.38506382551010154,0.9210707248018687,Hacker Group,Unpatched Software,AI-based Detection,0.36619718309859156,0.5420925668153297,0.001,0.0005420925668153297,High
